[60, 0, 227, 0, <rect(513, -13, 35, 13)>, 496, 227]
[60, 13, 227, 0, <rect(513, -13, 35, 13)>, 496, 227]
[62, 26, 455, 0, <rect(549, -27, 35, 27)>, 482, 455]
[60, 51, 911, 0, <rect(513, -54, 35, 54)>, 455, 911]
[65, 100, 455, 0, <rect(622, -27, 35, 27)>, 482, 455]
[64, 125, 1367, 0, <rect(586, -82, 35, 82)>, 427, 1367]
[60, 198, 227, 0, <rect(513, -13, 35, 13)>, 496, 227]
[60, 211, 227, 0, <rect(513, -13, 35, 13)>, 496, 227]
[62, 224, 455, 0, <rect(549, -27, 35, 27)>, 482, 455]
[60, 249, 911, 0, <rect(513, -54, 35, 54)>, 455, 911]
[67, 298, 455, 0, <rect(659, -27, 35, 27)>, 482, 455]
[65, 323, 1367, 0, <rect(622, -82, 35, 82)>, 427, 1367]
[60, 396, 227, 0, <rect(513, -13, 35, 13)>, 496, 227]
[60, 409, 227, 0, <rect(513, -13, 35, 13)>, 496, 227]
[72, 422, 455, 0, <rect(769, -27, 35, 27)>, 482, 455]
[69, 447, 911, 0, <rect(695, -54, 35, 54)>, 455, 911]
[65, 496, 455, 0, <rect(622, -27, 35, 27)>, 482, 455]
[64, 521, 455, 0, <rect(586, -27, 35, 27)>, 482, 455]
[62, 546, 911, 0, <rect(549, -54, 35, 54)>, 455, 911]
[70, 595, 227, 0, <rect(729, -13, 21, 13)>, 496, 227]
[70, 608, 227, 0, <rect(729, -13, 21, 13)>, 496, 227]
[69, 621, 455, 0, <rect(695, -27, 35, 27)>, 482, 455]
[65, 646, 911, 0, <rect(622, -54, 35, 54)>, 455, 911]
[67, 695, 455, 0, <rect(659, -27, 35, 27)>, 482, 455]
[65, 720, 911, 0, <rect(622, -54, 35, 54)>, 455, 911]
